Sum of Invoice Nett Amount,
Supplier Name,Total
Morrison Facilities Services Ltd,2332964.78
Veolia ES (UK) Ltd,2195216.61
Lambeth Living Ltd,1791828.61
Capita Business Services Ltd,1619925.31
Thames Water Utilities Ltd,1567069.34
Matrix SCM Ltd,1257743.24
Western Riverside Waste Authority,1177945.19
United Residents Housing,1164987.20
Mears Limited,1129875.80
Apollo Property Services Group Ld,898686.74
Loughborough Emb Ltd,845261.50
Lengard Ltd,729166.02
Harrison Catering Services Ltd,635515.40
Lambeth Lighting Services,491195.40
Allied Healthcare (Uk) Ltd,481084.19
Engage Lambeth Limited,475542.60
Focus Education (Lambeth) Ltd,472406.66
Breyer Group Plc,464457.11
Roupell Park Residents Mgt Coop Ltd,423772.44
Interserve Technical Services Ltd,403360.56
Pitney Bowes Management Services Ltd,401661.28
Denhan International,374053.45
Ethelred Tmo,351045.28
Greenwich Leisure Limited,321639.99
Lee Valley Regional Park,314729.64
East Riding of Yorkshire Council,305234.27
Southside Partnership,292891.15
F M Conway Ltd,282975.97
DDS Demolition,266168.00
Corona Gas,261817.81
Myatts Field North TMO,252569.00
Midos Estates Ltd,250018.77
Thames Reach Bondway,242110.39
Windmill Care Centre,235521.64
Limetree Healthcare Ltd,230264.23
Cambian Autism Services Ltd,221023.49
Turners Cleaning & Support Services Ltd,215249.91
MJF Corporate Guarding Ltd,212070.40
Edf Energy Plc,202187.33
Cambian Care Services,192162.48
Queens Oak Care Centre,191428.10
Prime Estates Property Management,188662.50
Mr D S Taak,188333.83
Cowley EMB Ltd,176217.50
Eagle House School,169559.72
Medequip Assistive Technology Ltd,166932.24
Majedie Asset Management Ltd,166524.76
St Mungo Association,165229.88
Thorlands Emb,164860.00
London Councils,161813.56
Caretech Community Services Ltd,160795.04
Atkins Ltd,154216.63
L'Arche Lambeth Community,152526.03
Keratome Ltd,151338.59
Blenheim Gardens Tmo,147356.94
Cetra Housing Co-Operative Ltd,143705.00
Lambert Smith Hampton,143491.52
British Telecommunications Plc,135141.79
Cmg Homes Ltd,134797.83
National Fostering Agency,131334.37
RM Education plc,130010.85
Lancedrum Ltd,128509.00
Hyder Consulting Ltd,124049.36
Cottington Close Tmc,118170.00
Blackford Education (Exmoor) Ltd t/a Libra,117605.00
Corelogic Ltd,116237.91
The Rathbone Centre,109982.60
Kingsdale Nursing Home,109949.86
229 Mitcham Lane Ltd,109390.19
Astra Homes Ltd,108742.73
Waltham Estate Resident Management Organisation,107817.50
Ashfords,107439.00
Sense,104480.90
Healthcare & Transport Services,103710.42
Foster Care Associates Ltd,102802.65
Solor Care Group Ltd,102740.50
Pacca TMO Ltd,93627.50
Supported Fostering Services,93548.92
Penrose Housing Association,93010.12
Manon House,91728.51
Orchard Hill College,91704.45
The Loddon School,91002.00
EPS Maintenance,90439.35
The Fostering Partnership,90254.14
British Gas Business,89760.38
CT Plus,87823.60
Newham House Supporting People Ltd,87557.18
Sorag Carers And Special Needs Project,87373.64
Cranfield Investments Ltd,86925.28
Lambeth Mencap,85292.44
Metropolitan Support Trust,84887.88
Northgate Information Solutions Uk Ltd,83233.82
Sherico Care Homes Ltd,82229.19
Single Homeless Project,80504.56
Pellings LLP,79970.78
Compass,78750.00
Metra Housing Co-Op,78106.75
F S Properties,77023.81
PricewaterhouseCoopers,76404.00
Gleeds Management Services Ltd,75809.72
Ssg Landscape Construction Ltd,73321.56
Bryn Melyn Care Ltd,70732.12
N Hosanee (Roselands),69617.76
Kindercare Fostering Ltd,67411.48
Quality Protects Children Ltd,67014.29
Holland Rise And Whitebeam Close Tmo,66660.00
Invicta Building Services Ltd,66500.00
Richmond Management (Northern) Ltd,66250.00
Sanctuary Care Ltd,65804.00
Trinity College London,65754.19
Tumblewood Community,65042.68
Underley Educational Services,64489.60
BUPA Care Homes,64302.73
Kelly Executive,64237.34
Families For Children (South) Ltd,63905.61
Portakabin Limited,62532.96
Post Office Ltd,62271.57
North East London Foundation Trust,62017.20
Stonewest Ltd,60803.63
Wellington Mills Housing Tmc,60596.25
BHHI,60069.39
Laurels Care Centre Ltd,59407.60
Mace Ltd,58792.95
Westminster Home Care Ltd,58789.11
Oakfield Nursery,58526.00
Care Unlimited,57969.09
Four Seasons Health Care Ltd,56961.29
Nas Services Ltd,56101.65
Orbis Property Protection Ltd,54100.00
Blizz Hotels,49872.83
The Rainbow Charity,49708.35
Holmdene Housing Ltd,49608.42
Acorn Residential Home,48835.52
Centrepoint Soho Ltd,48835.44
Partnership in Care Ltd,48241.80
Lambeth Community Health,47480.00
Anthony Gold Lerman & Muirhead,47432.25
London Development Agency,47304.94
Family Mosaic,47016.20
Groundwork London,46498.10
South London YMCA,46111.21
Royal Mencap Society,45931.31
Klearwater Supported Homes Ltd,45481.36
Alphatrack Systems Ltd,45085.00
KPMG LLP,45000.00
Bupa Home Healthcare,44921.77
Look Ahead Housing & Care Ltd,44470.36
Frontier Support Services Ltd,44263.24
Greater London Fostering,43757.49
St. Christopher's School,43622.01
A*Transport Ltd.,42576.50
Norcrest (2000) Home Limited,42530.69
Chatsworth Care,42438.38
Orland Limited & Blue Chip Trading Limited No 2 Account,42225.00
Holistic Community Care Ltd,41827.23
ISS Eaton,41052.11
Pield Heath House RC School,40252.32
Southern Care Ltd,39439.29
Solace Women's Aid,39380.96
Gold Knight Trading Ltd,39085.49
Ethelbert Homes,38807.23
Vosse Court Limited,38605.04
Swaay,38515.40
Gallagher Bassett International Ltd,37733.77
Sprunt Ltd,37000.00
Merton Citizens Advice Bureaux Ltd,36915.64
Banya Family Placement Agency,36894.35
