 Sum of Invoice Nett Amount ,
 Supplier Name , Total
 Engage Lambeth Limited ,"4046158.25"
 Morrison Facilities Services Ltd ,"3766352.15"
 Veolia ES (UK) Ltd ,"2691787.18"
 Matrix SCM Ltd ,"1549391.57"
 Focus Education (Lambeth) Ltd ,"1376093.25"
 F M Conway Ltd ,"1095255.26"
 Breyer Group Plc ,"1013426.68"
 Allied Healthcare (Uk) Ltd ,"925158.10"
 Western Riverside Waste Authority ,"911591.61"
 Thames Water Utilities Ltd ,"840124.06"
 Mears Limited ,"786237.43"
 Dell Computer Corporation Ltd ,"571629.72"
 Fountains Environmental Ltd ,"532282.20"
 NSL Limited ,"514329.80"
 Corona Gas ,"478064.27"
 RM Education plc ,"462557.00"
 Lambeth Lighting Services ,"454851.98"
 Pitney Bowes Management Services Ltd ,"444015.04"
 MJF Corporate Guarding Ltd ,"409371.65"
 Lambeth Living Ltd ,"408083.26"
 Climate Energy Ltd ,"400587.50"
 Denhan International ,"400129.61"
 Capita Business Services Ltd ,"363424.82"
 Harrison Catering Services Ltd ,"301521.33"
 Prospects Services Ltd ,"287723.97"
 Greenwich Leisure Limited ,"279740.94"
 The Hesley Group Ltd ,"273576.32"
 United Residents Housing ,"261824.43"
 Midos Estates Ltd ,"260070.45"
 Interserve Technical Services Ltd ,"258416.12"
 Windmill Care Centre ,"243372.35"
 Limetree Healthcare Ltd ,"237939.71"
 British Gas Business ,"233309.68"
 Southside Partnership ,"228746.60"
 Lambert Smith Hampton ,"228582.16"
 City Suburban Tree Surgeons ,"222996.11"
 British Gas Services Ltd ,"222340.37"
 Mr D S Taak ,"203749.28"
 Queens Oak Care Centre ,"197809.04"
 Legion Group plc ,"193121.06"
 Prime Estates Property Management ,"188662.50"
 Blakedown Landscapes (SE) Ltd ,"185392.65"
 Linbrook Services Ltd ,"170350.51"
 Ensigna Construction Ltd ,"168319.17"
 Kelly Executive ,"159587.93"
 Baillie Gifford Life Limited ,"157281.91"
 Lengard Ltd ,"154659.04"
 DDS Demolition ,"151050.00"
 South Bank Centre London ,"151000.00"
 Pinnacle Psg ,"145970.19"
 Keratome Ltd ,"145109.92"
 Caretech Community Services Ltd ,"143401.09"
 Northgate Information Solutions Uk Ltd ,"137864.52"
 Lancedrum Ltd ,"132004.00"
 National Fostering Agency ,"131818.44"
 Cmg Homes Ltd ,"130286.46"
 J J McGinley ,"127333.05"
 Blackford Education (Exmoor) Ltd t/a Libra ,"125810.67"
 Metropolitan Housing Trust London ,"125693.29"
 Turners Cleaning & Support Services Ltd ,"125533.57"
 Oco Ltd ,"125279.33"
 Anthony Gold Lerman & Muirhead ,"122167.20"
 Thames Reach Bondway ,"121620.59"
 Quality Protects Children Ltd ,"116428.58"
 Care Unlimited ,"116424.75"
 London Councils ,"115595.33"
 Klearwater Supported Homes Ltd ,"114186.48"
 Squibb Group of Companies Ltd ,"114000.00"
 Kingsdale Nursing Home ,"113548.62"
 Invicta Building Services Ltd ,"113182.71"
 Healthcare & Transport Services ,"111215.97"
 Lambeth Community Health ,"110994.01"
 Stonewest Ltd ,"105779.51"
 Capital Community Foundation ,"104598.00"
 Action For Children Services Ltd. ,"104326.77"
 Lambeth Mencap ,"102616.29"
 Gallagher Bassett International Ltd ,"99677.83"
 Families For Children (South) Ltd ,"96825.72"
 Holmdene Housing Ltd ,"93843.76"
 Solor Care Group Ltd ,"93665.14"
 The Fostering Partnership ,"93163.35"
 Norbury Property Services (London) Ltd ,"92224.28"
 Sense ,"92190.36"
 Southern Electric Plc ,"90335.16"
 Guys & St Thomas NHS Trust ,"90298.12"
 Frontier Support Services Ltd ,"89021.28"
 Cranfield Investments Ltd ,"86925.28"
 Orange Personal Communications Services Ltd ,"84471.90"
 Shepheard Epstein Hunter Plc ,"84414.14"
 F S Properties ,"83356.90"
 TPP Law Ltd ,"83336.38"
 Asphaltic Limited ,"82666.01"
 Sunbeam Fostering Agency Ltd ,"81196.72"
 London Grid For Learning ,"80999.04"
 388 STREATHAM HUB LTD ,"80695.99"
 British Telecommunications Plc ,"79995.89"
 Orchard Hill College ,"79167.06"
 Nacro ,"77676.99"
 Heywood Limited ,"75599.00"
 Astra Homes Ltd ,"72346.73"
 BUPA Care Homes ,"72317.81"
 Four Seasons Health Care Ltd ,"69298.48"
 Viglen Limited ,"69275.53"
 Sorag Carers And Special Needs Project ,"68986.07"
 The Rathbone Centre ,"68417.87"
 Richmond Management (Northern) Ltd ,"66250.00"
 Royal Bank Of Scotland Plc ,"65557.74"
 BHHI ,"64911.15"
 L'Arche Lambeth Community ,"64874.88"
 Eagle House School ,"64740.51"
 Newham House Supporting People Ltd ,"64731.16"
 St Mungo Association ,"63702.53"
 Westminster Home Care Ltd ,"63635.74"
 Kindercare Fostering Ltd ,"63343.62"
 Coin Co International Plc ,"61733.49"
 Mosaic Clubhouse ,"61512.82"
 EPS Maintenance ,"61321.67"
 Sport Action Zone ,"61160.27"
 Unique Personnel (Uk) Ltd ,"61000.30"
 Foster Care Associates Ltd ,"60712.85"
 Lambeth Law Centre ,"59366.10"
 Powell Forster Solictors ,"58463.65"
 Umbrella ,"57851.50"
 The Frances Taylor Foundation ,"57806.51"
 Blizz Hotels ,"54931.09"
 Consulting Inplace Ltd ,"54790.00"
 Underley Educational Services ,"54626.36"
 Holibrook House Ltd ,"54228.59"
 Fisher Meredith Solicitors ,"54000.00"
 Livability Nash College ,"53999.01"
 Charlie Chaplin Adventure Playground ,"53430.00"
 Audit Commission ,"53243.00"
 CT Plus ,"53063.05"
 Edf Energy Plc ,"52860.52"
