Sum of Invoice Nett Amount,
Supplier Name,Total
Lambeth Living Ltd,"2909121.01"
Western Riverside Waste Authority,"2159010.99"
F M Conway Ltd,"1422501.62"
Matrix SCM Ltd,"1354068.40"
Morrison Facilities Services Ltd,"1079711.74"
Veolia ES (UK) Ltd,"1056062.38"
Harrison Catering Services Ltd,"922252.04"
Breyer Group Plc,"843728.72"
Lengard Ltd,"748128.19"
Mears Limited,"644904.88"
Loughborough Emb Ltd,"589143.60"
NSL Limited,"486188.75"
Capita Business Services Ltd,"480718.58"
Allied Healthcare (Uk) Ltd,"475768.91"
Ethelred Tmo,"423506.39"
Thames Reach Bondway,"393324.77"
Denhan International,"385288.52"
Department for Communities & Local Government,"371736.29"
Pitney Bowes Management Services Ltd,"366444.05"
Lambert Smith Hampton,"353870.58"
Cathedral (Clapham) Ltd,"333100.00"
Southside Partnership,"321064.98"
Jardine Lloyd Thompson UK Ltd,"290372.55"
Roupell Park Residents Mgt Coop Ltd,"282603.00"
St Mungo Association,"271449.09"
Lambeth Lighting Services,"262661.30"
Bircham Dyson Bell,"260000.00"
Myatts Field North TMO,"258699.60"
Interserve Technical Services Ltd,"256046.75"
Midos Estates Ltd,"249040.73"
Windmill Care Centre,"235521.64"
Limetree Healthcare Ltd,"230264.23"
Cowley EMB Ltd,"211461.00"
Lambeth Mencap,"211407.78"
Oco Ltd,"211291.20"
Mr D S Taak,"198296.40"
Thorlands Emb,"197832.00"
Queens Oak Care Centre,"191428.12"
Fountains Environmental Ltd,"188927.73"
ISS Eaton,"185503.34"
Cambian Care Services Ltd,"181399.70"
Eagle House School,"176194.38"
Blackford Education (Exmoor) Ltd t/a Libra,"172600.10"
Blenheim Gardens Tmo,"166863.00"
Hertel (UK) Ltd,"162447.15"
The Hesley Group Ltd,"152332.90"
Cetra Housing Co-Operative Ltd,"149253.00"
United Residents Housing,"147850.05"
Single Homeless Project,"132257.49"
Waltham Estate Resident Management Organisation,"129381.00"
Metropolitan Support Trust,"116640.66"
Lambeth Voluntary Action Council,"116604.26"
Kingsdale Nursing Home,"116116.52"
Metropolitan Housing Trust London,"113175.44"
Cmg Homes Ltd,"112424.09"
Pacca TMO Ltd,"112353.00"
Cottington Close Tmc,"108564.00"
Sense,"104461.12"
Coin Co International Plc,"103910.17"
Hyder Consulting Ltd,"102094.27"
Turners Cleaning & Support Services Ltd,"101717.26"
Solor Care Group Ltd,"98023.00"
Gallagher Bassett International Ltd,"97501.00"
Gold Knight Trading Ltd,"95524.63"
Aon,"95072.46"
Saltash Enterprises Ltd,"95026.65"
Lambeth Community Health,"94680.27"
South Bank Employers Group,"94470.06"
Baily Garner,"93891.65"
Enterprise Plc,"91556.35"
London Power Networks plc,"91152.00"
Southern Electric Plc,"90103.55"
Healthcare & Transport Services,"89664.06"
Caretech Community Services Ltd,"88161.46"
Hilife Construction Co Ltd,"88101.72"
Westminster Home Care Ltd,"87644.61"
The Mulberry Bush School,"86837.56"
Chatsworth Care,"83530.82"
Ethelbert Homes,"82057.05"
Compass,"82000.00"
Family Mosaic,"81291.79"
F S Properties,"80950.65"
Centrepoint Soho Ltd,"80229.65"
Holland Rise And Whitebeam Close Tmo,"79992.00"
Norbury Property Services (London) Ltd,"79594.24"
British Gas Business,"78935.16"
Stonewest Ltd,"78698.98"
Sherico Care Homes Ltd,"78213.94"
Alphatrack Systems Ltd,"78181.59"
The Fostering Partnership,"78156.60"
Metra Housing Co-Op,"78106.75"
Cunningham Lindsey United Kingdom,"76264.00"
Regard Partnership,"74941.84"
South London YMCA,"74470.12"
Anthony Gold Lerman & Muirhead,"73286.11"
Look Ahead Housing & Care Ltd,"73058.45"
IQRA Independent School,"72653.00"
388 STREATHAM HUB LTD,"69828.50"
British Telecommunications Plc,"69217.28"
National Fostering Agency,"68330.98"
Wellington Mills Housing Tmc,"67855.75"
Sorag Carers And Special Needs Project,"67525.32"
Families For Children (South) Ltd,"67079.02"
EPS Maintenance,"66661.89"
Klearwater Supported Homes Ltd,"66430.39"
Lambeth College,"66295.24"
Solace Women's Aid,"64697.29"
Cambian Care Services,"62861.89"
Castlebeck Care (Teesdale) Ltd,"62437.42"
The Rathbone Centre,"62101.45"
The Weir Link,"61187.50"
Trustmarque Solutions Ltd,"60991.25"
Frontier Support Services Ltd,"60850.08"
Supported Fostering Services,"60380.76"
BHHI,"60088.24"
Barlow Lyde & Gilbert,"59366.80"
Pinnacle Psg,"58970.65"
Oakfield Nursery,"58526.00"
Blossom House School,"57895.00"
English Churches Housing Group,"57382.77"
London Councils,"55341.25"
Clapham Park Project,"55296.32"
Shepheard Epstein Hunter Plc,"54707.50"
Kelly Executive,"53389.90"
Lambeth Law Centre,"52995.60"
Blizz Hotels,"52879.97"
North Hill House Priory,"52801.30"
Diamond Build Plc,"52236.30"
British Gas Services Ltd,"50760.33"
Laurels Care Centre Ltd,"50692.51"
Royal Mencap Society,"50411.52"
Broadway,"50369.74"
Four Seasons Health Care Ltd,"50191.49"
Care Unlimited,"49846.89"
Esro Ltd,"48400.00"
Partnership in Care Ltd,"48241.80"
BUPA Care Homes,"46514.35"
CT Plus,"46030.27"
Apollo Property Services Group Ld,"46022.52"
One London Ltd,"45377.44"
Atkins Ltd,"45061.28"
Tunstall Group,"43908.08"
Nak Centre,"42875.25"
Sherwood Cars Ltd.,"42838.23"
Ruskin Private Hire,"42445.00"
Orland Limited & Blue Chip Trading Limited No 2 Account,"42225.00"
Newham House Supporting People Ltd,"42072.38"
Whippersnappers,"41706.00"
Cycle Training UK Ltd,"41387.50"
Sanctuary Care Ltd,"41304.13"
