Sum of Invoice Nett Amount,

Supplier Name,Total
Lambeth Living Ltd,3942708.84
Veolia ES (UK) Ltd,1863310.97
Engage Lambeth Limited,1647233.95
Matrix SCM Ltd,1197197.56
Morrison Facilities Services Ltd,991771.95
Lengard Ltd,980143.45
NSL Limited,975606.80
Harrison Catering Services Ltd,679988.04
Apollo Property Services Group Ld,639351.55
London Grid For Learning,611794.74
F M Conway Ltd,576162.71
Lambeth Lighting Services,561296.44
Mears Limited,511337.99
RM Education plc,502715.00
Allied Healthcare (Uk) Ltd,451555.39
T Brown Group Ltd,436662.69
Denhan International,396902.49
Oco Ltd,382501.42
Mulalley & Co Ltd,364328.99
Metropolitan Support Trust,353659.59
Southside Partnership,295181.35
Breyer Group Plc,281218.12
Midos Estates Ltd,256341.00
Keratome Ltd,249347.34
Windmill Care Centre,243372.37
Thames Reach Bondway,239415.04
Limetree Healthcare Ltd,237939.70
Queens Oak Care Centre,197809.06
Pitney Bowes Management Services Ltd,181954.00
PricewaterhouseCoopers,181108.80
St Mungo Association,175412.38
Mosaic Clubhouse,168475.80
D Singh Properties Ltd TA DS Properties,161794.16
Cmg Homes Ltd,156522.93
Norbury Property Services (London) Ltd,146983.98
National Fostering Agency,145453.00
Blakedown Landscapes (SE) Ltd,144488.30
United Residents Housing,135104.41
Lambeth Mencap,134717.60
Cambian Asperger Syndrome Services Ltd,130290.66
CfBT Education Trust,127540.00
Kingsdale Nursing Home,126288.99
EPS Maintenance,120852.73
Interserve Technical Services Ltd,114611.97
Caretech Community Services Ltd,111556.27
Vinstrata Builder (London) Ltd,109976.63
Greenwich Leisure Limited,108243.08
North Hill House Priory,105602.60
Deloitte LLP,104956.00
Transport For London,103677.84
Frontier Support Services Ltd,101940.16
The Fostering Partnership,100942.01
Turners Cleaning & Support Services Ltd,99887.82
CT Plus,97992.05
Sense,94915.14
Aon,89691.00
Solor Care Group Ltd,89461.92
Orange Personal Communications Services Ltd,88908.16
Medequip Assistive Technology Ltd,86531.79
Astra Homes Ltd,84982.63
Chatsworth Care,83507.78
F S Properties,81550.08
Frosts Landscape Construction ltd,80688.60
Single Homeless Project,80504.56
Farnrise Construction Ltd,79959.00
Klearwater Supported Homes Ltd,77709.76
Cambian Care Services,74845.67
Newham House Supporting People Ltd,72432.41
Court Lodge,71903.24
Sanctuary Care Ltd,70787.38
By The Bridge,69587.29
Four Seasons Health Care Ltd,65538.78
Sherico Care Homes Ltd,65171.69
Look Ahead Housing & Care Ltd,63915.00
The Dulwich Estate,63760.62
Compass,63750.00
BUPA Care Homes,62178.37
Edf Energy Plc,62114.53
Blackford Education (Exmoor) Ltd t/a Libra,61980.00
Market and Opinion Research International Limited (Ipsos Mori),61491.66
BHHI,61184.15
L'Arche Lambeth Community,61028.42
Talis Information Ltd,60442.90
Underley Educational Services,59800.00
Care Unlimited,58683.56
EPS Group Limited,58040.02
Hunter & Partners,57941.63
Banking Automation Ltd,56700.00
Kindercare Fostering Ltd,56647.62
Meadowside Building Development Ltd,56545.00
Tumblewood Community,56271.14
City Suburban Tree Surgeons,55826.08
Quality Protects Children Ltd,54996.42
Foster Care Associates Ltd,54723.37
Holmdene Housing Ltd,54673.13
Families For Children (South) Ltd,54427.15
South Thames Crossroads,53835.50
Blizz Hotels,53734.95
Royal Mencap Society,52740.89
The Frances Taylor Foundation,51880.32
One Step At A Time,51850.20
Anthony Gold Lerman & Muirhead,51781.64
Carewatch (Lambeth),51620.58
Cunningham Lindsey United Kingdom,50744.00
British Telecommunications Plc,49582.81
St Christophers Fellowship,49185.43
Centrepoint Soho Ltd,48835.44
Southern Care Ltd,48600.01
TPP Law Ltd,48459.73
Eaton Green Estate Agents Ltd,47879.02
Gleeds Management Services Ltd,47335.00
South London YMCA,45475.06
Sherwood Cars Ltd.,45125.30
Supported Fostering Services,44583.68
Vosse Court Limited,44574.10
Broadway,43831.56
Nak Centre,43693.08
Orland Limited & Blue Chip Trading Limited No 2 Account,43632.50
Banya Family Placement Agency,43056.90
R@W Logistics Ltd,42755.69
KPMG LLP,42705.00
Thames Water Utilities Ltd,42119.10
ISS Eaton,40743.18
Laurels Care Centre Ltd,40613.18
Curocare Ltd,40458.85
Black Cultural Archives,40003.86
Solace Women's Aid,39380.96
St Michaels Fellowship,39174.46
Oasis Care And Training Agency,38707.58
Holistic Community Care Ltd,38681.25
Atkins Ltd,38338.60
Royal Bank Of Scotland Plc,37797.92
Cycle Training UK Ltd,37064.00
Ethelbert Homes,36676.81
Waterloo Quarter Business Alliance,36495.90
Orchard Hill College,36318.52
Sunbeam Fostering Agency Ltd,36060.16
OCS Group UK Limited t/a Cannon,36021.26
Kirkstall Lodge Ltd,35339.08
Childcare Vouchers Ltd.,34551.06
British Gas Business,34541.60
Whippersnappers,34434.00
Ashfords,34202.13
Greater London Fostering,33932.03
Gold Knight Trading Ltd,33385.68
Roughton London Ltd,33093.75
Kelly Executive,32492.30
Jigsaw Cabas School,32307.32
Crest Nicholson Eastern,32281.53
The Rathbone Centre,32212.70
Cognithan Ltd,31647.40
Healthcare & Transport Services,31633.24
Partnership in Care Ltd,31111.60
University of Bedfordshire,30855.00
Pringle Richards Sharatt Ltd,30770.56
Family Mosaic,30168.80
Independent Lifestyles LLP,29697.20
Mental Health Care Uk Ltd,28874.56
South Bank Employers Group,28750.00
Norbury Hall Residential Care Home,28744.82
Lambeth Academy,28420.14
St. Catherine's School,27995.30
Coniston Ltd.,27815.49
Mace Ltd,27760.76
Supreme Education PLC,27666.75
Insight,27328.92
229 Mitcham Lane Ltd,27078.81
Waterloo Action Centre,26792.30
Pinsent Masons LLP,26767.64
Ove Arup & Partners Ltd,26625.00
N Hosanee (Roselands),26590.09
Lambeth Contact A Family,26516.37
Regard Partnership,26472.18
Inclusive Care Support,26233.23
Westminster Home Care Ltd,26166.32
Direct Care Ltd,26099.46
Harvey Nash Plc,25956.95
Medicrest Limited t/a Acorn Care Homes,25925.89
Strettons Clients Account,25674.40
Clifton Manor,25520.44
Skylight Security and Cleaning Services Ltd,25488.00
The Hesley Group Ltd,24719.56
Deepdene Care Limited,24647.84
The Stroke Association,24500.00
Children First Fostering Agency Ltd,24446.61
Collinstown Construction Ltd,24377.63
Furnace Managed Services Ltd,24186.00
Unsted Park Priory,24078.67
