Sum of Invoice Nett Amount,
Supplier Name,Total
Lambeth Living Ltd,5051755.00
Transport Trading Limited,2834472.00
Winckworth Sherwood,2421436.00
Jardine Lloyd Thompson UK Ltd,2380967.99
Morrison Facilities Services Ltd,1728861.21
Matrix SCM Ltd,1422288.10
Western Riverside Waste Authority,1089412.31
NSL Limited,932325.52
Mears Limited,856759.15
London Councils,762521.10
Zurich Municipal,734543.26
Focus Education (Lambeth) Ltd,633774.16
RM Education plc,562730.00
Breyer Group Plc,514702.05
Lengard Ltd,454730.07
The Hesley Group Ltd,410907.02
Denhan International,406117.10
Thames Reach Bondway,402857.87
British Telecommunications Plc,340250.14
Veolia ES (UK) Ltd,330814.32
Allied Healthcare (Uk) Ltd,319388.82
Keratome Ltd,303584.17
F M Conway Ltd,293152.00
Southside Partnership,285616.01
Pitney Bowes Management Services Ltd,272741.37
Midos Estates Ltd,262545.12
City Suburban Tree Surgeons,248702.30
Windmill Care Centre,243372.37
Corona Gas,240321.83
Limetree Healthcare Ltd,237939.70
Capital Community Foundation,237000.00
Capita Business Services Ltd,230508.24
EPS Group Limited,217600.00
Harrison Catering Services Ltd,217552.57
Fountains Environmental Ltd,213442.49
MJF Corporate Guarding Ltd,206764.56
Mr D S Taak,204434.86
Lambeth Lighting Services,203072.72
Queens Oak Care Centre,197809.06
Norbury Property Services (London) Ltd,173660.23
St Mungo Association,167360.56
Metropolitan Support Trust,142502.42
South Bank Centre London,135138.00
Baillie Gifford Life Limited,123462.47
Cmg Homes Ltd,117140.26
United Residents Housing,114306.73
National Fostering Agency,114037.18
Blackford Education (Exmoor) Ltd t/a Libra,113820.00
The Fostering Partnership,112773.99
Lambeth Mencap,111969.84
Action For Children Services Ltd.,104633.44
Kingsdale Nursing Home,103793.33
South Thames Crossroads,102500.00
Sense,101829.78
Caretech Community Services Ltd,98517.37
Pinnacle Psg,98378.39
Interserve Technical Services Ltd,98214.82
Astra Homes Ltd,97613.79
Sorag Carers And Special Needs Project,94751.41
Kindercare Fostering Ltd,92108.28
John Pelling Partners,90010.16
Klearwater Supported Homes Ltd,88872.04
British Gas Business,88516.07
Healthcare & Transport Services,88097.79
F S Properties,86261.58
The Rathbone Centre,85678.31
Emo Oil Ltd,85211.44
Solor Care Group Ltd,84632.63
Inclusive Care Support,84469.55
Tadley Horizon School,81216.31
Single Homeless Project,80504.56
Precision Lift Services Ltd,78100.00
Charlie Chaplin,78084.00
Sanctuary Care Ltd,77977.17
Blakedown Landscapes (SE) Ltd,74930.53
Hertel (UK) Ltd,73910.11
Eagle House School,73482.74
Southern Electric Plc,72840.76
Hilife Construction Co Ltd,72674.46
Supported Fostering Services,70013.08
Laurels Care Centre Ltd,69582.64
Lambert Smith Hampton,68848.54
BUPA Care Homes,68596.30
St Michaels Fellowship,68538.00
Idox Software Ltd,67065.00
Crownwise Ltd,66779.01
Four Seasons Health Care Ltd,65259.60
Foster Care Associates Ltd,64065.85
BHHI,63401.96
Families For Children (South) Ltd,62689.13
Enterprise Plc,61350.39
Frontier Support Services Ltd,60850.08
Care Unlimited,60817.86
Holmdene Housing Ltd,60294.99
Norbury Hall Residential Care Home,59878.55
Axis Europe Plc,59562.61
Southern Care Ltd,58320.00
Nas Services Ltd,56960.62
Baily Garner,56591.76
Liberty Printers Ltd,56490.33
Saltash Enterprises Ltd,55981.47
Black Cultural Archives,55524.81
Sherico Care Homes Ltd,54942.89
Local Government Association,54317.25
Quality Protects Children Ltd,53571.45
Northgate Information Solutions Uk Ltd,53105.37
Galaxy Lettings Ltd,53084.00
North Hill House Priory,52801.30
OCS Group UK Limited t/a Cannon,52667.07
The Frances Taylor Foundation,52595.21
Anthony Gold Lerman & Muirhead,52538.99
The Information Foyer,52332.86
Shepheard Epstein Hunter Plc,51723.02
Blizz Hotels,51535.31
Glen Care Group,51195.87
Quadrant Security Group Ltd,51062.05
Insight,50502.24
R@W Logistics Ltd,50449.27
Orchard Hill College,50394.84
Kartikeya Solutions Limited t/a Unique Children Home,50021.18
QA-IQ Ltd.,50000.00
Partnership in Care Ltd,49849.86
Tumblewood Community,49485.54
Family Mosaic,49481.96
Tact,49275.82
Centrepoint Soho Ltd,48835.44
Swift DataPro Software Ltd,48530.00
Sunbeam Fostering Agency Ltd,47726.33
Royal Mail,47267.02
Meadowside Building Development Ltd,47015.02
Westminster Home Care Ltd,46194.72
Hyder Consulting Ltd,45282.74
South London YMCA,44684.16
Solid Homes Ltd,44664.85
Look Ahead Housing & Care Ltd,44470.36
Fairley House School,43750.00
Orland Limited & Blue Chip Trading Limited No 2 Account,43632.50
The Mulberry Bush School,43418.78
Brookdale Healthcare,42679.00
Unique Personnel (Uk) Ltd,42170.29
Clifton Manor,42093.38
Chatsworth Care,41069.40
Park View Care Centre,40829.87
PricewaterhouseCoopers,40710.00
The Crescent (Family & Assessment Centre),40657.12
High Quality Lifestyles,40611.48
National Autistic Society,40598.55
Gold Knight Trading Ltd,40364.73
Alphatrack Systems Ltd,40114.29
Ethelbert Homes,40100.80
Ebonycare,39640.02
St Mary's Care Ltd,39539.63
Solace Women's Aid,39380.96
Barnardo Services Ltd,39297.00
Royal Mencap Society,38258.45
Aviva Healthcare UK Ltd,38217.00
Montrose Building Services Ltd,37730.33
Furnace Managed Services Ltd,37667.60
British Gas Services Ltd,37389.14
Beach Communications Ltd,37365.56
Gardiner & Theobald LLP,37178.35
Southern Cross Healthcare Ltd,36580.46
Barka UK,36281.07
Stockwell Partnership,36247.00
English Churches Housing Group,36168.81
Community Links Services,35845.60
Squibb Group of Companies Ltd,35300.00
